[2026-09-25 15:32:42] Checkout - isbn = 12345, member_id = 001,  SUCCESS.
[2026-09-25 15:32:42] Checkout - isbn = 17382, member_id = 002,  FAILURE: Book with ISBN 17382 not found..
[2026-09-25 15:32:42] Return - isbn = 17382, member_id = 002,  FAILURE: Book with ISBN 17382 not found..
[2026-09-25 15:33:23] Checkout - isbn = 12345, member_id = 001,  SUCCESS.
[2026-09-25 15:33:23] Checkout - isbn = 17382, member_id = 002,  SUCCESS.
[2026-09-25 15:33:23] Return - isbn = 17382, member_id = 002,  FAILURE: 1984 is already checked out..
[2026-09-25 15:34:46] Checkout - isbn = 12345, member_id = 001,  SUCCESS.
[2026-09-25 15:34:46] Checkout - isbn = 17832, member_id = 002,  SUCCESS.
[2026-09-25 15:34:46] Return - isbn = 17832, member_id = 002,  FAILURE: 1984 is already checked out..
[2026-09-25 15:35:10] Checkout - isbn = 12345, member_id = 001,  SUCCESS.
[2026-09-25 15:35:10] Checkout - isbn = 17832, member_id = 002,  SUCCESS.
[2026-09-25 15:35:10] Return - isbn = 17832, member_id = 002,  SUCCESS.
[2026-09-25 17:05:10] Checkout - isbn = 12345, member_id = 001,  SUCCESS.
